Name: 广东珠江, URL: http://61.140.124.156:8888/udp/239.77.0.114:5146, Date: 04-13-2024, Resolution: 1920x1080, Response Time: 387ms
Name: 广东珠江, URL: http://113.86.204.95:9999/udp/239.77.0.114:5146, Date: 04-09-2024, Resolution: 1920x1080, Response Time: 401ms
Name: 广东珠江, URL: http://113.86.204.95:9999/udp/239.77.0.1:5146, Date: 04-20-2024, Resolution: 1920x1080, Response Time: 403ms
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8, Date: 04-13-2024, Resolution: 1920x1080, Response Time: 1401ms
Name: 广东珠江, URL: http://219.135.208.218:8083/tsfile/live/0017_1.m3u8, Date: 04-18-2024, Resolution: 1024x576, Response Time: 385ms
Name: 广东珠江, URL: http://120.197.112.28:9901/tsfile/live/1019_1.m3u8, Date: 04-20-2024, Resolution: 1024x576, Response Time: 945ms
Name: 广东珠江, URL: http://113.86.205.10:808/hls/105/index.m3u8, Date: 04-14-2024, Resolution: 785x576, Response Time: 2663ms
Name: 广东珠江, URL: http://gmxw.7766.org:808/hls/83/index.m3u8, Date: 01-17-2024, Resolution: None, Response Time: 3244ms
Name: 广东体育, URL: http://61.140.124.156:8888/udp/239.77.0.168:5146, Date: 04-21-2024, Resolution: 1920x1080, Response Time: 386ms
Name: 广东体育, URL: http://php.jdshipin.com:8880/chudian.php?id=gdty, Date: 04-20-2024, Resolution: 1280x720, Response Time: 2399ms
Name: 广东体育, URL: http://116.21.123.201:8000/udp/239.77.1.97:5146, Date: 04-10-2024, Resolution: 786x576, Response Time: 385ms
Name: 广东体育, URL: http://219.135.208.218:8083/tsfile/live/1000_1.m3u8, Date: 01-21-2024, Resolution: None, Response Time: 381ms
Name: 广东体育, URL: http://219.135.208.218:8083/tsfile/live/1000_1.m3u8, Date: 03-29-2024, Resolution: None, Response Time: 390ms
Name: 广东体育, URL: http://gmxw.7766.org:808/hls/2/index.m3u8, Date: 11-03-2023, Resolution: None, Response Time: 943ms
Name: 广东体育, URL: http://api2.52tb.xyz/info?id=414&token=20230326xflvzc, Date: 08-17-2023, Resolution: None, Response Time: 997ms
Name: 广东体育, URL: http://r.jdshipin.com/LiYdg, Date: 01-16-2024, Resolution: None, Response Time: 1899ms
Name: 广东体育, URL: http://v2.91kds.cn/b9/itouchv3.m3u8?id=gdty&auth=rinimabi, Date: 05-28-2023, Resolution: None, Response Time: 2493ms
Name: 广东体育, URL: http://v2.91kds.cn/b9/itouchv3.m3u8?id=gdty&auth=rinimabi, Date: 05-18-2023, Resolution: None, Response Time: 2503ms
Name: 广东新闻, URL: http://113.86.204.95:9999/udp/239.77.0.173:5146, Date: 03-04-2024, Resolution: None, Response Time: 404ms
Name: 广东新闻, URL: http://gmxw.7766.org:808/hls/5/index.m3u8, Date: 11-06-2023, Resolution: None, Response Time: 594ms
Name: 广东新闻, URL: http://v2.91kds.cn/b9/itouchv3.m3u8?id=gdxw&auth=rinimabi, Date: 05-28-2023, Resolution: None, Response Time: 1599ms
Name: 广东卫视, URL: http://66.165.240.154:8080/live/jsydws04/hls.m3u8, Date: 04-17-2024, Resolution: 1920x1080, Response Time: 36ms
Name: 广东卫视, URL: http://154.yfvodcdn.com:8080/live/jsydws04/hls.m3u8, Date: 04-20-2024, Resolution: 1920x1080, Response Time: 122ms
Name: 广东卫视, URL: http://58.63.64.214:8888/udp/239.77.1.19:5146, Date: 04-18-2024, Resolution: 1920x1080, Response Time: 378ms
